POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType,ZIPCODE
"2360",PLYMOUTH,NON UNIQUE,PLYMOUTH,"54275","PLYMOUTH, TOWN OF",PLYMOUTH,103.1403089,"2360",,,,,,,,,,,,,,,,,,,,,,,,,
"1230",GREAT BARRINGTON,NON UNIQUE,GREAT BARRINGTON,"26780","GREAT BARRINGTON, TOWN OF",BERKSHIRE,96.72656896,"1230",,,,,,,,,,,,,,,,,,,,,,,,,
"1223",BECKET,NON UNIQUE,BECKET,"04510","BECKET, TOWN OF",BERKSHIRE,86.59125138,"1223",,,,,,,,,,,,,,,,,,,,,,,,,
"1034",GRANVILLE,NON UNIQUE,GRANVILLE,"26640","TOLLAND, TOWN OF",HAMPDEN,72.35022566,"1034",,,,,,,,,,,,,,,,,,,,,,,,,
"2346",MIDDLEBORO,NON UNIQUE,MIDDLEBORO,"40780","MIDDLEBOROUGH, TOWN OF",PLYMOUTH,72.14780071,"2346",,,,,,,,,,,,,,,,,,,,,,,,,
"1366",PETERSHAM,NON UNIQUE,PETERSHAM,"53085","PETERSHAM, TOWN OF",WORCESTER,62.65331762,"1366",,,,,,,,,,,,,,,,,,,,,,,,,
"1201",PITTSFIELD,NON UNIQUE,PITTSFIELD,"53960",PITTSFIELD,BERKSHIRE,61.94892049,"1201",,,,,,,,,,,,,,,,,,,,,,,,,
"1339",CHARLEMONT,NON UNIQUE,CHARLEMONT,"12470","CHARLEMONT, TOWN OF",FRANKLIN,59.02825958,"1339",,,,,,,,,,,,,,,,,,,,,,,,,
"1340",COLRAIN,NON UNIQUE,COLRAIN,"14850","COLRAIN, TOWN OF",FRANKLIN,58.54743839,"1340",,,,,,,,,,,,,,,,,,,,,,,,,
"2790",WESTPORT,NON UNIQUE,WESTPORT,"77570","WESTPORT, TOWN OF",BRISTOL,56.30997046,"2790",,,,,,,,,,,,,,,,,,,,,,,,,
"1007",BELCHERTOWN,NON UNIQUE,BELCHERTOWN,"04790","BELCHERTOWN, TOWN OF",HAMPSHIRE,55.29290537,"1007",,,,,,,,,,,,,,,,,,,,,,,,,
"1237",LANESBOROUGH,NON UNIQUE,LANESBOROUGH,"34330","LANESBOROUGH, TOWN OF",BERKSHIRE,50.76702371,"1237",,,,,,,,,,,,,,,,,,,,,,,,,
"1267",WILLIAMSTOWN,NON UNIQUE,WILLIAMSTOWN,"79950","WILLIAMSTOWN, TOWN OF",BERKSHIRE,55.22803318,"1267",,,,,,,,,,,,,,,,,,,,,,,,,
"1008",BLANDFORD,NON UNIQUE,BLANDFORD,"06050","BLANDFORD, TOWN OF",HAMPDEN,54.0591453,"1008",,,,,,,,,,,,,,,,,,,,,,,,,
"1331",ATHOL,NON UNIQUE,ATHOL,"02515","ATHOL, TOWN OF",WORCESTER,58.08486951,"1331",,,,,,,,,,,,,,,,,,,,,,,,,
"1085",WESTFIELD,NON UNIQUE,WESTFIELD,"76030",WESTFIELD,HAMPDEN,55.93892848,"1085",,,,,,,,,,,,,,,,,,,,,,,,,
"1370",SHELBURNE FALLS,NON UNIQUE,SHELBURNE FALLS,"61205","SHELBURNE, TOWN OF",FRANKLIN,48.80405713,"1370",,,,,,,,,,,,,,,,,,,,,,,,,
"1235",HINSDALE,NON UNIQUE,HINSDALE,"30280","HINSDALE, TOWN OF",BERKSHIRE,47.75705167,"1235",,,,,,,,,,,,,,,,,,,,,,,,,
"2747",NORTH DARTMOUTH,NON UNIQUE,NORTH DARTMOUTH,"47450","DARTMOUTH, TOWN OF",BRISTOL,47.49541385,"2747",,,,,,,,,,,,,,,,,,,,,,,,,
"2769",REHOBOTH,NON UNIQUE,REHOBOTH,"56340","REHOBOTH, TOWN OF",BRISTOL,47.36336756,"2769",,,,,,,,,,,,,,,,,,,,,,,,,
"1002",AMHERST,NON UNIQUE,AMHERST,"01290","AMHERST, TOWN OF",HAMPSHIRE,53.72931708,"1002",,,,,,,,,,,,,,,,,,,,,,,,,
"1255",SANDISFIELD,NON UNIQUE,SANDISFIELD,"59630","SANDISFIELD, TOWN OF",BERKSHIRE,50.85483654,"1255",,,,,,,,,,,,,,,,,,,,,,,,,
"1247",NORTH ADAMS,NON UNIQUE,NORTH ADAMS,"46225",NORTH ADAMS,BERKSHIRE,47.15753286,"1247",,,,,,,,,,,,,,,,,,,,,,,,,
"1475",WINCHENDON,NON UNIQUE,WINCHENDON,"80370","WINCHENDON, TOWN OF",WORCESTER,44.33294497,"1475",,,,,,,,,,,,,,,,,,,,,,,,,
"1507",CHARLTON,NON UNIQUE,CHARLTON,"12680","CHARLTON, TOWN OF",WORCESTER,43.99834318,"1507",,,,,,,,,,,,,,,,,,,,,,,,,
"2035",FOXBORO,NON UNIQUE,FOXBORO,"24750","FOXBOROUGH, TOWN OF",NORFOLK,20.84156821,"2035",,,,,,,,,,,,,,,,,,,,,,,,,
"1740",BOLTON,NON UNIQUE,BOLTON,"06330","BOLTON, TOWN OF",WORCESTER,20.69450858,"1740",,,,,,,,,,,,,,,,,,,,,,,,,
"1550",SOUTHBRIDGE,NON UNIQUE,SOUTHBRIDGE,"63305","SOUTHBRIDGE, TOWN OF",WORCESTER,20.65779621,"1550",,,,,,,,,,,,,,,,,,,,,,,,,
"1341",CONWAY,NON UNIQUE,CONWAY,"15165","CONWAY, TOWN OF",FRANKLIN,34.08553818,"1341",,,,,,,,,,,,,,,,,,,,,,,,,
"1562",SPENCER,NON UNIQUE,SPENCER,"66070","SPENCER, TOWN OF",WORCESTER,34.01579381,"1562",,,,,,,,,,,,,,,,,,,,,,,,,
"1590",SUTTON,NON UNIQUE,SUTTON,"68575","SUTTON, TOWN OF",WORCESTER,34.01245536,"1590",,,,,,,,,,,,,,,,,,,,,,,,,
"1096",WILLIAMSBURG,NON UNIQUE,WILLIAMSBURG,"79880","GOSHEN, TOWN OF",HAMPSHIRE,33.4528849,"1096",,,,,,,,,,,,,,,,,,,,,,,,,
"1450",GROTON,NON UNIQUE,GROTON,"27445","GROTON, TOWN OF",MIDDLESEX,33.31877202,"1450",,,,,,,,,,,,,,,,,,,,,,,,,
"1026",CUMMINGTON,NON UNIQUE,CUMMINGTON,"16005","CUMMINGTON, TOWN OF",HAMPSHIRE,26.65912327,"1026",,,,,,,,,,,,,,,,,,,,,,,,,
"2535",CHILMARK,NON UNIQUE,CHILMARK,"13765","CHILMARK, TOWN OF",DUKES,26.1158379,"2535",,,,,,,,,,,,,,,,,,,,,,,,,
"1266",WEST STOCKBRIDGE,NON UNIQUE,WEST STOCKBRIDGE,"77955","WEST STOCKBRIDGE, TOWN OF",BERKSHIRE,25.8627596,"1266",,,,,,,,,,,,,,,,,,,,,,,,,
"1742",CONCORD,NON UNIQUE,CONCORD,"15025","CONCORD, TOWN OF",MIDDLESEX,25.6396045,"1742",,,,,,,,,,,,,,,,,,,,,,,,,
"1259",SOUTHFIELD,NON UNIQUE,SOUTHFIELD,"63830","NEW MARLBOROUGH, TOWN OF",BERKSHIRE,25.27478424,"1259",,,,,,,,,,,,,,,,,,,,,,,,,
"1516",DOUGLAS,NON UNIQUE,DOUGLAS,"17265","DOUGLAS, TOWN OF",WORCESTER,38.16715,"1516",,,,,,,,,,,,,,,,,,,,,,,,,
"1430",ASHBURNHAM,NON UNIQUE,ASHBURNHAM,"01850","ASHBURNHAM, TOWN OF",WORCESTER,38.04726038,"1430",,,,,,,,,,,,,,,,,,,,,,,,,
"1257",SHEFFIELD,NON UNIQUE,SHEFFIELD,"61030","SHEFFIELD, TOWN OF",BERKSHIRE,38.03045342,"1257",,,,,,,,,,,,,,,,,,,,,,,,,
"1364",ORANGE,NON UNIQUE,ORANGE,"51230","ORANGE, TOWN OF",FRANKLIN,37.79580104,"1364",,,,,,,,,,,,,,,,,,,,,,,,,
"1378",WARWICK,NON UNIQUE,WARWICK,"73230","WARWICK, TOWN OF",FRANKLIN,37.64549678,"1378",,,,,,,,,,,,,,,,,,,,,,,,,
"1541",PRINCETON,NON UNIQUE,PRINCETON,"55360","PRINCETON, TOWN OF",WORCESTER,37.64220073,"1541",,,,,,,,,,,,,,,,,,,,,,,,,
"1473",WESTMINSTER,NON UNIQUE,WESTMINSTER,"76975","WESTMINSTER, TOWN OF",WORCESTER,36.87329445,"1473",,,,,,,,,,,,,,,,,,,,,,,,,
"2554",NANTUCKET,NON UNIQUE,NANTUCKET,"43755","NANTUCKET, TOWN OF",NANTUCKET,36.79770817,"2554",,,,,,,,,,,,,,,,,,,,,,,,,
"1543",RUTLAND,NON UNIQUE,RUTLAND,"58790","RUTLAND, TOWN OF",WORCESTER,36.22895399,"1543",,,,,,,,,,,,,,,,,,,,,,,,,
"1256",SAVOY,NON UNIQUE,SAVOY,"60190","SAVOY, TOWN OF",BERKSHIRE,36.10955991,"1256",,,,,,,,,,,,,,,,,,,,,,,,,
"1082",WARE,NON UNIQUE,WARE,"72845","WARE, TOWN OF",HAMPSHIRE,40.01120361,"1082",,,,,,,,,,,,,,,,,,,,,,,,,
"2568",VINEYARD HAVEN,NON UNIQUE,VINEYARD HAVEN,"71970","OAK BLUFFS, TOWN OF",DUKES,39.82787813,"2568",,,,,,,,,,,,,,,,,,,,,,,,,
"2330",CARVER,NON UNIQUE,CARVER,"11630","CARVER, TOWN OF",PLYMOUTH,39.82049055,"2330",,,,,,,,,,,,,,,,,,,,,,,,,
"1452",HUBBARDSTON,NON UNIQUE,HUBBARDSTON,"31400","HUBBARDSTON, TOWN OF",WORCESTER,42.29649963,"1452",,,,,,,,,,,,,,,,,,,,,,,,,
"1368",ROYALSTON,NON UNIQUE,ROYALSTON,"58545","ROYALSTON, TOWN OF",WORCESTER,42.25951,"1368",,,,,,,,,,,,,,,,,,,,,,,,,
"1027",EASTHAMPTON,NON UNIQUE,EASTHAMPTON,"19330",EASTHAMPTON,HAMPSHIRE,41.3162153,"1027",,,,,,,,,,,,,,,,,,,,,,,,,
"2770",ROCHESTER,NON UNIQUE,ROCHESTER,"57565","ROCHESTER, TOWN OF",PLYMOUTH,35.66284753,"2770",,,,,,,,,,,,,,,,,,,,,,,,,
"1360",NORTHFIELD,NON UNIQUE,NORTHFIELD,"47800","NORTHFIELD, TOWN OF",FRANKLIN,35.35349044,"1360",,,,,,,,,,,,,,,,,,,,,,,,,
"1337",BERNARDSTON,NON UNIQUE,BERNARDSTON,"05525","BERNARDSTON, TOWN OF",FRANKLIN,35.34412667,"1337",,,,,,,,,,,,,,,,,,,,,,,,,
"1010",BRIMFIELD,NON UNIQUE,BRIMFIELD,"08435","BRIMFIELD, TOWN OF",HAMPDEN,35.26669551,"1010",,,,,,,,,,,,,,,,,,,,,,,,,
"2780",TAUNTON,NON UNIQUE,TAUNTON,"69170",TAUNTON,BRISTOL,34.30855899,"2780",,,,,,,,,,,,,,,,,,,,,,,,,
"1057",MONSON,NON UNIQUE,MONSON,"42110","MONSON, TOWN OF",HAMPDEN,44.79717618,"1057",,,,,,,,,,,,,,,,,,,,,,,,,
"1005",BARRE,NON UNIQUE,BARRE,"03705","BARRE, TOWN OF",WORCESTER,44.66496308,"1005",,,,,,,,,,,,,,,,,,,,,,,,,
"1545",SHREWSBURY,NON UNIQUE,SHREWSBURY,"61835","SHREWSBURY, TOWN OF",WORCESTER,21.81407162,"1545",,,,,,,,,,,,,,,,,,,,,,,,,
"1581",WESTBOROUGH,NON UNIQUE,WESTBOROUGH,"75050","WESTBOROUGH, TOWN OF",WORCESTER,21.43603003,"1581",MA2328000,WESTBOROUGH WATER DEPARTMENT,L,"27",Oak Street WTF,GW,"22947",Entry Point to Dist. System,EP,,,2023/05/16 00:00:00,35800406009SE1,PFOS,0.004,µg/L,EPA 533,=,0.0075,SE1,AM,"1",MA,,"1581"
"1568",UPTON,NON UNIQUE,UPTON,"71445","UPTON, TOWN OF",WORCESTER,21.35489246,"1568",,,,,,,,,,,,,,,,,,,,,,,,,
"1068",OAKHAM,NON UNIQUE,OAKHAM,"50635","OAKHAM, TOWN OF",WORCESTER,21.25469166,"1068",,,,,,,,,,,,,,,,,,,,,,,,,
"1826",DRACUT,NON UNIQUE,DRACUT,"17510","DRACUT, TOWN OF",MIDDLESEX,21.21241407,"1826",,,,,,,,,,,,,,,,,,,,,,,,,
"2061",NORWELL,NON UNIQUE,NORWELL,"50110","NORWELL, TOWN OF",PLYMOUTH,21.06930915,"2061",MA4219000,NORWELL WATER DEPARTMENT,L,"22",South Street TF,GW,SSTF1,Lab Sink Treated Water Sample Tap,EP,,,2023/09/20 00:00:00,810-78566-1,PFOS,0.004,µg/L,EPA 533,=,0.0184,SE1,AM,"1",MA,,"2061"
"1540",OXFORD,NON UNIQUE,OXFORD,"51790","OXFORD, TOWN OF",WORCESTER,21.06264516,"1540",,,,,,,,,,,,,,,,,,,,,,,,,
"1520",HOLDEN,NON UNIQUE,HOLDEN,"30525","HOLDEN, TOWN OF",WORCESTER,20.31804137,"1520",,,,,,,,,,,,,,,,,,,,,,,,,
"2048",MANSFIELD,NON UNIQUE,MANSFIELD,"38190","MANSFIELD, TOWN OF",BRISTOL,20.17561815,"2048",,,,,,,,,,,,,,,,,,,,,,,,,
"2667",WELLFLEET,NON UNIQUE,WELLFLEET,"74350","WELLFLEET, TOWN OF",BARNSTABLE,20.17146133,"2667",,,,,,,,,,,,,,,,,,,,,,,,,
"1720",ACTON,NON UNIQUE,ACTON,"00345","ACTON, TOWN OF",MIDDLESEX,19.99217641,"1720",MA2002000,ACTON WATER SUPPLY DISTRICT,L,"32",South Acton WTP,GU,MULT14,Entry Point to the Distribution System,EP,,,2023/12/06 00:00:00,810-87135-1,PFOS,0.004,µg/L,EPA 533,=,0.0047,SE4,AM,"1",MA,,"1720"
"1810",ANDOVER,NON UNIQUE,ANDOVER,"01430","ANDOVER, TOWN OF",ESSEX,31.90687655,"1810",,,,,,,,,,,,,,,,,,,,,,,,,
"1098",WORTHINGTON,NON UNIQUE,WORTHINGTON,"82175","WORTHINGTON, TOWN OF",HAMPSHIRE,31.89193802,"1098",,,,,,,,,,,,,,,,,,,,,,,,,
"1938",IPSWICH,NON UNIQUE,IPSWICH,"32275","IPSWICH, TOWN OF",ESSEX,31.87656183,"1938",,,,,,,,,,,,,,,,,,,,,,,,,
"2093",WRENTHAM,NON UNIQUE,WRENTHAM,"82280","WRENTHAM, TOWN OF",NORFOLK,22.57749138,"2093",MA4350000,WRENTHAM WATER DIVISION,L,"20002",Treatment Plant #4,GW,EP2,Finished Water Tap (395 Thurston St.),EP,,,2023/08/17 00:00:00,810-74516-1,PFOS,0.004,µg/L,EPA 533,=,0.0044,SE1,AM,"1",MA,,"2093"
"1876",TEWKSBURY,NON UNIQUE,TEWKSBURY,"69380","TEWKSBURY, TOWN OF",MIDDLESEX,20.98339746,"1876",,,,,,,,,,,,,,,,,,,,,,,,,
"1531",NEW BRAINTREE,NON UNIQUE,NEW BRAINTREE,"45070","NEW BRAINTREE, TOWN OF",WORCESTER,20.94823401,"1531",,,,,,,,,,,,,,,,,,,,,,,,,
"1083",WARREN,PO BOX,WARREN,"73055","WARREN, TOWN OF",WORCESTER,20.86107594,"1083",,,,,,,,,,,,,,,,,,,,,,,,,
"1469",TOWNSEND,NON UNIQUE,TOWNSEND,"70325","TOWNSEND, TOWN OF",MIDDLESEX,20.63094558,"1469",,,,,,,,,,,,,,,,,,,,,,,,,
"1468",TEMPLETON,NON UNIQUE,TEMPLETON,"69240","TEMPLETON, TOWN OF",WORCESTER,20.60998671,"1468",,,,,,,,,,,,,,,,,,,,,,,,,
"2649",MASHPEE,NON UNIQUE,MASHPEE,"39065","MASHPEE, TOWN OF",BARNSTABLE,24.70363238,"2649",,,,,,,,,,,,,,,,,,,,,,,,,
"1238",LEE,NON UNIQUE,LEE,"34620","LEE, TOWN OF",BERKSHIRE,32.56869371,"1238",,,,,,,,,,,,,,,,,,,,,,,,,
"1095",WILBRAHAM,NON UNIQUE,WILBRAHAM,"79705","WILBRAHAM, TOWN OF",HAMPDEN,22.52381122,"1095",,,,,,,,,,,,,,,,,,,,,,,,,
"1844",METHUEN,NON UNIQUE,METHUEN,"40710",METHUEN,ESSEX,22.49086063,"1844",,,,,,,,,,,,,,,,,,,,,,,,,
"1240",LENOX,NON UNIQUE,LENOX,"34935","LENOX, TOWN OF",BERKSHIRE,22.43167513,"1240",,,,,,,,,,,,,,,,,,,,,,,,,
"1373",SOUTH DEERFIELD,NON UNIQUE,SOUTH DEERFIELD,"63620","DEERFIELD, TOWN OF",FRANKLIN,22.1071689,"1373",,,,,,,,,,,,,,,,,,,,,,,,,
"1752",MARLBOROUGH,NON UNIQUE,MARLBOROUGH,"38715",MARLBOROUGH,MIDDLESEX,22.05541144,"1752",,,,,,,,,,,,,,,,,,,,,,,,,
"1571",DUDLEY,NON UNIQUE,DUDLEY,"17650","DUDLEY, TOWN OF",WORCESTER,21.98818244,"1571",,,,,,,,,,,,,,,,,,,,,,,,,
"1535",NORTH BROOKFIELD,NON UNIQUE,NORTH BROOKFIELD,"47100","NORTH BROOKFIELD, TOWN OF",WORCESTER,21.97967868,"1535",,,,,,,,,,,,,,,,,,,,,,,,,
"1451",HARVARD,NON UNIQUE,HARVARD,"28915","HARVARD, TOWN OF",WORCESTER,21.84365457,"1451",,,,,,,,,,,,,,,,,,,,,,,,,
"2359",PEMBROKE,NON UNIQUE,PEMBROKE,"52595","PEMBROKE, TOWN OF",PLYMOUTH,23.46689056,"2359",,,,,,,,,,,,,,,,,,,,,,,,,
"1463",PEPPERELL,NON UNIQUE,PEPPERELL,"52770","PEPPERELL, TOWN OF",MIDDLESEX,23.43765186,"1463",MA2232000,PEPPERELL DPW WATER DIVISION,S,223200003G,JERSEY STREET GRAVEL PACKED WELL,GW,03G,TREATED: JERSEY STREET,EP,,,2023/09/19 00:00:00,107792P,PFOS,0.004,µg/L,EPA 533,=,0.0064,SE2,AM,"1",MA,,"1463"
"2777",SWANSEA,NON UNIQUE,SWANSEA,"68715","SWANSEA, TOWN OF",BRISTOL,22.98649468,"2777",,,,,,,,,,,,,,,,,,,,,,,,,
"1585",WEST BROOKFIELD,NON UNIQUE,WEST BROOKFIELD,"75365","WEST BROOKFIELD, TOWN OF",WORCESTER,22.95784593,"1585",,,,,,,,,,,,,,,,,,,,,,,,,
"1220",ADAMS,NON UNIQUE,ADAMS,"00590","ADAMS, TOWN OF",BERKSHIRE,22.91794076,"1220",,,,,,,,,,,,,,,,,,,,,,,,,
"2748",SOUTH DARTMOUTH,NON UNIQUE,SOUTH DARTMOUTH,"63585","DARTMOUTH, TOWN OF",BRISTOL,22.91723671,"2748",,,,,,,,,,,,,,,,,,,,,,,,,
"1077",SOUTHWICK,NON UNIQUE,SOUTHWICK,"65790","SOUTHWICK, TOWN OF",HAMPDEN,31.51247451,"1077",,,,,,,,,,,,,,,,,,,,,,,,,
"1886",WESTFORD,NON UNIQUE,WESTFORD,"76100","WESTFORD, TOWN OF",MIDDLESEX,31.42984805,"1886",MA3330000,WESTFORD WATER DEPARTMENT,L,"25",Nutting Road WTP,GU,"19402",Entry Point to Dist. System,EP,,,2023/07/11 00:00:00,810-69220-1,PFOS,0.004,µg/L,EPA 533,=,0.0043,SE3,AM,"1",MA,,"1886"
"1420",FITCHBURG,NON UNIQUE,FITCHBURG,"23875",FITCHBURG,WORCESTER,31.10616995,"1420",,,,,,,,,,,,,,,,,,,,,,,,,
"1225",CHESHIRE,NON UNIQUE,CHESHIRE,"13310","CHESHIRE, TOWN OF",BERKSHIRE,30.26642936,"1225",,,,,,,,,,,,,,,,,,,,,,,,,
"1037",HARDWICK,PO BOX,HARDWICK,"28705","HARDWICK, TOWN OF",WORCESTER,29.94198815,"1037",,,,,,,,,,,,,,,,,,,,,,,,,
"1073",SOUTHAMPTON,NON UNIQUE,SOUTHAMPTON,"62710","SOUTHAMPTON, TOWN OF",HAMPSHIRE,28.9916689,"1073",,,,,,,,,,,,,,,,,,,,,,,,,
"1270",WINDSOR,NON UNIQUE,WINDSOR,"80650","WINDSOR, TOWN OF",BERKSHIRE,28.86860859,"1270",,,,,,,,,,,,,,,,,,,,,,,,,
"1033",GRANBY,NON UNIQUE,GRANBY,"26500","GRANBY, TOWN OF",HAMPSHIRE,28.61832318,"1033",,,,,,,,,,,,,,,,,,,,,,,,,
"2539",EDGARTOWN,NON UNIQUE,EDGARTOWN,"21115","EDGARTOWN, TOWN OF",DUKES,28.54978185,"2539",,,,,,,,,,,,,,,,,,,,,,,,,
